periodo,per acertos,per total,moves,n acertos,n erros,open,close,high,low,fitnesst,wint,param0,param1,param2,param3
168,50.0,-0.0027240402640556836,2,1,1,11796.812084934098,11764.677093827238,11796.812084934098,11712.257282591847,3.5025252525252526,68.88888888888889,5,30,5,3
169,100.0,0.01792830597365413,4,4,0,11764.677093827238,11975.597824446613,11975.597824446613,11764.677093827238,3.336031042128603,70.73170731707317,5,31,5,3
170,50.0,-0.002895859879064507,2,1,1,11975.597824446613,11940.918171178986,12028.412935842765,11940.918171178986,3.418498942917547,69.76744186046511,31,5,5,3
172,50.0,-0.0026157949306471907,2,1,1,11940.918171178986,11909.683177959543,11940.918171178986,11855.631074132883,3.604347826086957,71.73913043478261,31,5,5,3
173,100.0,0.004453303597648449,1,1,0,11909.683177959543,11962.720612902804,11962.720612902804,11909.683177959543,3.48099173553719,70.45454545454545,31,5,5,3
174,66.66666666666666,0.0032166863157861983,6,4,2,11962.720612902804,12001.200932597902,12070.258698162808,11896.190478288574,3.48099173553719,70.45454545454545,31,5,5,3
175,100.0,0.004392163379680474,1,1,0,12001.200932597902,12053.912167846245,12053.912167846245,12001.200932597902,3.5648221343873523,69.56521739130434,5,29,5,3
176,100.0,0.008815963861865873,2,2,0,12053.912167846245,12160.179021912083,12160.179021912083,12053.912167846245,3.5648221343873523,69.56521739130434,5,23,5,3
179,66.66666666666666,0.0010016459665736141,3,2,1,12160.179021912083,12172.359216182194,12211.703408333784,12121.003875133227,3.5879110251450674,68.08510638297872,8,11,5,2
180,100.0,0.004351771683534805,1,1,0,12172.359216182194,12225.33054434099,12225.33054434099,12172.359216182194,2.9967532467532467,68.57142857142857,37,5,5,4
181,50.0,-0.0031456718500843524,2,1,1,12225.33054434099,12186.87366618968,12278.2373833147,12186.87366618968,2.9967532467532467,68.57142857142857,37,5,5,4
182,66.66666666666666,0.0010230189789090629,3,2,1,12186.87366618968,12199.34106924376,12199.34106924376,12096.295518289546,3.144019138755981,68.42105263157895,37,5,5,4
183,100.0,0.0042899330679414625,1,1,0,12199.34106924376,12251.675425903804,12251.675425903804,12199.34106924376,3.144019138755981,68.42105263157895,5,37,5,5
184,66.66666666666666,0.0012816717212414492,3,2,1,12251.675425903804,12267.378051835014,12267.378051835014,12159.848652765446,2.9967532467532467,68.57142857142857,38,6,5,5
185,100.0,0.004451983735146657,1,1,0,12267.378051835014,12321.992219394679,12321.992219394679,12267.378051835014,3.945791245791246,68.51851851851852,10,7,5,4
187,25.0,-0.019357164330666397,4,1,3,12321.992219394679,12083.473391122663,12321.992219394679,12038.029030159401,4.804801536491677,69.01408450704226,12,5,5,5
188,50.0,-0.003493328736656326,2,1,1,12083.473391122663,12041.261846286832,12132.69517001634,12041.261846286832,4.65668449197861,69.11764705882352,5,12,5,5
189,100.0,0.008189414188194188,2,2,0,12041.261846286832,12139.872726894575,12139.872726894575,12041.261846286832,4.539669421487604,68.18181818181817,5,12,5,5
190,66.66666666666666,9.152180274081491e-05,3,2,1,12139.872726894575,12140.983789931584,12236.01109503542,12139.872726894575,4.45,68.75,12,5,5,5
191,50.0,-0.0038089915818565285,2,1,1,12140.983789931584,12094.738884880278,12140.983789931584,12047.255562281098,4.390981240981241,68.25396825396825,12,5,5,5
192,100.0,0.008124676794957968,2,2,0,12094.738884880278,12193.004729239341,12193.004729239341,12094.738884880278,4.331669150521609,70.49180327868852,5,12,5,5
193,50.0,-0.003791546074456277,2,1,1,12193.004729239341,12146.774390022367,12193.004729239341,12098.771699232146,4.2727272727272725,70.0,12,5,5,5
194,100.0,0.011313194902339231,3,3,0,12146.774390022367,12284.193216131433,12284.193216131433,12146.774390022367,4.09401913875598,68.42105263157895,12,5,5,5
195,0.0,-0.007753142118376587,1,0,1,12284.193216131433,12188.952120317168,12284.193216131433,12188.952120317168,4.09401913875598,68.42105263157895,5,9,7,5
198,100.0,0.003915521526000904,1,1,0,12188.952120317168,12236.678224723664,12236.678224723664,12188.952120317168,3.748701298701299,71.42857142857143,5,15,5,5
199,60.0,-0.004761712442322225,5,3,2,12236.678224723664,12178.410681768304,12285.301798763243,12134.196928335443,3.398701298701299,71.42857142857143,5,15,5,5
201,50.0,-0.007853100010165807,4,2,2,12178.410681768304,12082.772404719506,12178.410681768304,12082.772404719506,2.9723140495867773,72.72727272727273,5,54,5,3
203,100.0,0.015399260372239515,4,4,0,12082.772404719506,12268.838162998292,12268.838162998292,12082.772404719506,2.698701298701299,71.42857142857143,37,21,5,4
