periodo,per acertos,per total,moves,n acertos,n erros,open,close,high,low,fitnesst,wint,param0,param1,param2,param3
198,100.0,0.003915521526000945,1,1,0,12192.785047034076,12240.52615934764,12240.52615934764,12192.785047034076,3.748701298701299,71.42857142857143,5,15,5,5
199,60.0,-0.004761712442321951,5,3,2,12240.52615934764,12182.240293634108,12289.165023511767,12138.012636784848,3.398701298701299,71.42857142857143,15,5,5,5
201,50.0,-0.007853100010165693,4,2,2,12182.240293634108,12086.571942260329,12182.240293634108,12086.571942260329,2.9723140495867773,72.72727272727273,54,5,5,3
203,100.0,0.015399260372239381,4,4,0,12086.571942260329,12272.696210606999,12272.696210606999,12086.571942260329,2.698701298701299,71.42857142857143,37,21,5,4
204,100.0,0.004208485333475328,1,1,0,12272.696210606999,12324.345672611536,12324.345672611536,12272.696210606999,2.766614420062696,72.41379310344827,21,37,5,4
206,100.0,0.004108882876741171,1,1,0,12324.345672611536,12374.98496551277,12374.98496551277,12324.345672611536,2.7151515151515153,83.33333333333334,44,13,5,4
207,100.0,0.0038746902028101047,1,1,0,12374.98496551277,12422.934198518564,12422.934198518564,12374.98496551277,2.6286713286713286,73.07692307692307,55,5,5,4
208,50.0,-0.003866845573022992,2,1,1,12422.934198518564,12374.896630409066,12472.030198784038,12374.896630409066,3.0626262626262624,69.44444444444444,10,21,6,4
209,33.33333333333333,-0.011761032355511963,3,1,2,12374.896630409066,12229.35507074271,12374.896630409066,12180.76929147546,2.6294612794612795,70.37037037037037,35,20,5,4
210,100.0,0.011985364645528587,3,3,0,12229.35507074271,12375.928350645205,12375.928350645205,12229.35507074271,3.1276412776412776,70.27027027027027,11,21,6,4
211,100.0,0.00411665804599223,1,1,0,12375.928350645205,12426.875815666512,12426.875815666512,12375.928350645205,2.7039184952978057,68.96551724137932,9,33,17,4
212,100.0,0.012276362337152293,3,3,0,12426.875815666512,12579.432645898429,12579.432645898429,12426.875815666512,2.7727272727272725,70.0,20,22,10,4
213,100.0,0.004085982676052686,1,1,0,12579.432645898429,12630.831989764141,12630.831989764141,12579.432645898429,2.6294612794612795,70.37037037037037,35,19,5,4
215,75.0,0.004612144033222775,4,3,1,12630.831989764141,12689.087206160371,12689.087206160371,12583.070507471288,2.9967532467532467,68.57142857142857,5,18,5,5
216,100.0,0.004208398121823754,1,1,0,12689.087206160371,12742.487936926434,12742.487936926434,12689.087206160371,2.9967532467532467,68.57142857142857,18,7,5,5
