periodo,per acertos,per total,moves,n acertos,n erros,open,close,high,low,fitnesst,wint,param0,param1,param2
185,66.66666666666666,0.0006121239765859749,3,2,1,12477.5329153657,12485.170712431836,12581.324313227924,12477.5329153657,2.9172176308539948,69.6969696969697,22,11,5
186,100.0,0.0074137703767454734,2,2,0,12485.170712431836,12577.732901208274,12577.732901208274,12485.170712431836,3.2916851441241683,68.29268292682927,22,5,5
187,0.0,-0.015391085512519383,2,0,2,12577.732901208274,12384.147938572149,12577.732901208274,12384.147938572149,3.48099173553719,70.45454545454545,18,5,5
188,100.0,0.004149529687430055,1,1,0,12384.147938572149,12435.53632809678,12435.53632809678,12384.147938572149,3.48099173553719,70.45454545454545,18,5,5
189,100.0,0.016556080227826595,4,4,0,12435.53632809678,12641.420065220802,12641.420065220802,12435.53632809678,3.418498942917547,69.76744186046511,18,5,5
190,100.0,0.003980915987984086,1,1,0,12641.420065220802,12691.744496469262,12691.744496469262,12641.420065220802,3.355411255411256,69.04761904761905,18,6,5
191,100.0,0.003928350035787718,1,1,0,12691.744496469262,12741.602111416176,12741.602111416176,12691.744496469262,3.4607822410147993,72.09302325581395,18,5,5
192,0.0,-0.007608310553252884,1,0,1,12741.602111416176,12644.660045606539,12741.602111416176,12644.660045606539,3.485281385281385,76.19047619047619,18,5,5
193,100.0,0.003933409316034103,1,1,0,12644.660045606539,12694.396669228012,12694.396669228012,12644.660045606539,3.441991341991342,73.80952380952381,18,5,5
194,100.0,0.0076331617330844944,2,2,0,12694.396669228012,12791.295052108158,12791.295052108158,12694.396669228012,3.335406698564593,78.94736842105263,22,5,5
195,50.0,-0.003890046290228981,2,1,1,12791.295052108158,12741.53632224348,12840.660475274652,12741.53632224348,4.6884716732542815,68.11594202898551,6,7,5
198,100.0,0.007723047604540008,2,2,0,12741.53632224348,12839.939813815143,12839.939813815143,12741.53632224348,3.214141414141414,77.77777777777779,18,5,5
199,50.0,-0.00800896889956041,4,2,2,12839.939813815143,12737.10513517407,12894.171670025771,12690.86303999345,3.0204545454545455,78.125,18,5,5
